id,grupo,asignatura,profesor,dia,hora_inicio,hora_fin,salon
102,6201,INVESTIGACION SOCIAL,JURADO CARDENAS RAUL,MIERCOLES,07:00,10:00,A 107
103,6201,PSICOLOGIA DE LA VIDA COTIDIANA,SOTO RAMIREZ JUAN,MIERCOLES,11:00,14:00,A 302
104,6202,ESTADISTICA INFERENC.EN PSICOLOGIA,GARCIA MERAZ MELISSA,MIERCOLES,11:00,14:00,A 109
105,6203,"CONFLICTO, CONFORMIDAD Y CONSENSO",DOMINGUEZ ZUÑIGA TANIA FABIOLA,MIERCOLES,10:00,13:00,URIDES 1 Edif C
106,6203,PSICOLOGIA DE LA VIDA COTIDIANA,VARELA MACEDO VICTORIA MAGDALENA,MIERCOLES,15:00,18:00,A 206
107,6205,INVESTIGACION SOCIAL,LANDEROS MUGICA KARINA,MIERCOLES,15:00,18:00,AULA PENDIENTE
108,6301,EVALUACION NEUROPSICOLOGICA,RAMIREZ FLORES MAURA JAZMIN,MIERCOLES,10:00,12:00,A 204
109,6302,PSICOFARMACOLOGIA Y ADICCION,CASASOLA CASTRO CESAR,MIERCOLES,11:00,12:30,A 301
110,6303,EVALUACION NEUROPSICOLOGICA,TORRES KNOOP ISABEL,MIERCOLES,18:00,20:00,B 07
111,6303,TEMAS SELECTOS EN PSICOBIOLOGIA II,CANSINO ORTIZ CARMEN SELENE,MIERCOLES,15:00,18:00,A 308
112,6304,PSICOFISIOLOGIA DE LA ATENCION,PEREZ FERRARA DAVID ALEJANDRO,MIERCOLES,18:00,19:30,A 304
113,6401,PSICODIAGNOSTICO II,BECERRIL PEREZ MARIA SANTOS,MIERCOLES,08:00,11:00,A 301
114,6402,TEORIA Y TECNICA DE LA ENTREVIS. II,RAMIREZ CAMACHO MARÍA DEL CARMEN,MIERCOLES,13:00,15:00,A 304
115,6403,PSICODIAGNOSTICO II,SOMARRIBA ROCHA LAURA ANGELA,MIERCOLES,09:00,12:00,A 101
116,6404,TEORIA Y TECNICA DE LA ENTREVIS. II,VALENZUELA VALLEJO JORGE ALFONSO,MIERCOLES,12:30,14:30,A 301
117,6406,EPIDEMIOLOGIA Y SALUD PUBLICA,GONZALEZ ALCANTARA KARLA EDITH,MIERCOLES,11:00,14:00,A 211
